City,Title,Location,Price,Area,Status
Bangalore,"3 BHK Flat  for Sale in  Godrej Woods, Thanisandra Main Road, Bangalore","3 BHK Flat  for Sale in  Godrej Woods, Thanisandra Main Road, Bangalore",₹2.72 Cr,1026 sqft,N/A
Bangalore,"4 BHK Flat  for Sale in  Total Environment Windmills Of Your Mind, Whitefield, Bangalore","4 BHK Flat  for Sale in  Total Environment Windmills Of Your Mind, Whitefield, Bangalore",₹13.50 Cr,6000 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Phoenix Kessaku, Rajajinagar, Bangalore","3 BHK Flat  for Sale in  Phoenix Kessaku, Rajajinagar, Bangalore",₹6 Cr,2100 sqft,Ready to Move
Bangalore,"4 BHK Flat  for Sale in  DRK Bellagio, Krishnarajapura, Bangalore","4 BHK Flat  for Sale in  DRK Bellagio, Krishnarajapura, Bangalore",₹3.39 Cr,N/A,Poss. by Jun '28
Bangalore,"2 BHK Flat  for Sale in  The Clan by Global Edifice, Sarjapura, Bangalore","2 BHK Flat  for Sale in  The Clan by Global Edifice, Sarjapura, Bangalore",₹94.3 Lac,N/A,Poss. by Dec '27
Bangalore,"3 BHK Flat  for Sale in  Century Ethos, Hebbal, Bangalore","3 BHK Flat  for Sale in  Century Ethos, Hebbal, Bangalore",₹4.50 Cr,N/A,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  G Corp The Icon, Thanisandra, Bangalore","3 BHK Flat  for Sale in  G Corp The Icon, Thanisandra, Bangalore",₹2.65 Cr,1645 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Karle Vario Homes, Hebbal, Bangalore","3 BHK Flat  for Sale in  Karle Vario Homes, Hebbal, Bangalore",₹2.49 Cr,N/A,Poss. by Jun '27
Bangalore,"3 BHK Flat  for Sale in  Prestige Shantiniketan, Whitefield, Bangalore","3 BHK Flat  for Sale in  Prestige Shantiniketan, Whitefield, Bangalore",₹4.40 Cr,1661 sqft,Ready to Move
Bangalore,"2 BHK Flat  for Sale in  Prestige Falcon City, Kanakapura Road, Bangalore","2 BHK Flat  for Sale in  Prestige Falcon City, Kanakapura Road, Bangalore",₹2.25 Cr,900 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Prestige Lakeside Habitat, Whitefield, Bangalore","3 BHK Flat  for Sale in  Prestige Lakeside Habitat, Whitefield, Bangalore",₹2.30 Cr,N/A,Ready to Move
Bangalore,Plot/Land for Sale in Sarjapur Road Bangalore,  Plot/Land for Sale in Sarjapur Road Bangalore,₹2.70 Cr,N/A,N/A
Bangalore,"3 BHK Flat  for Sale in  Ajmera Lakeside Paradise, Yelahanka, Bangalore","3 BHK Flat  for Sale in  Ajmera Lakeside Paradise, Yelahanka, Bangalore",₹1.40 Cr,980 sqft,Ready to Move
Bangalore,"4 BHK Flat  for Sale in  Richmond Town, Richmond Town, Bangalore","4 BHK Flat  for Sale in  Richmond Town, Richmond Town, Bangalore",₹3.80 Cr,2600 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Gokulam Apartment I, Kanakapura Road, Bangalore","3 BHK Flat  for Sale in  Gokulam Apartment I, Kanakapura Road, Bangalore",₹1.75 Cr,1750 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Amrutha Platinum Towers, Whitefield, Bangalore","3 BHK Flat  for Sale in  Amrutha Platinum Towers, Whitefield, Bangalore",₹1.75 Cr,N/A,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Sarjapur Road, Bangalore","3 BHK Flat  for Sale in  Sarjapur Road, Bangalore",₹1.54 Cr,1025 sqft,Poss. by Dec '28
Bangalore,Plot/Land for Sale in Tumkur Road Bangalore,  Plot/Land for Sale in Tumkur Road Bangalore,₹69 Lac,N/A,N/A
Bangalore,"3 BHK Flat  for Sale in  Binary Etania, Sarjapur Road, Bangalore","3 BHK Flat  for Sale in  Binary Etania, Sarjapur Road, Bangalore",₹1.22 Cr,N/A,Poss. by Dec '29
Bangalore,"3 BHK Flat  for Sale in  Krishna Garden, Jayanagar, Bangalore","3 BHK Flat  for Sale in  Krishna Garden, Jayanagar, Bangalore",₹5.50 Cr,N/A,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  STSK Nature Elation, Varthur, Bangalore","3 BHK Flat  for Sale in  STSK Nature Elation, Varthur, Bangalore",₹1.06 Cr,1150 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Essem18 Kumaravana, RR Nagar, Bangalore","3 BHK Flat  for Sale in  Essem18 Kumaravana, RR Nagar, Bangalore",₹2.41 Cr,N/A,Poss. by Mar '27
Ahmedabad,"5 BHK Flat  for Sale in  Arista Eminence 96, Arista Eminence 96, Shilaj, Ahmedabad","5 BHK Flat  for Sale in  Arista Eminence 96, Arista Eminence 96, Shilaj, Ahmedabad",₹4.98 Cr,3654 sqft,Ready to Move
Ahmedabad,"3 BHK Flat  for Sale in  Aristo Avira, Aristo Avira, Chharodi, Ahmedabad","3 BHK Flat  for Sale in  Aristo Avira, Aristo Avira, Chharodi, Ahmedabad",₹1.49 Cr,1057 sqft,Poss. by Jun '28
Ahmedabad,Plot/Land for Sale in Dholera Ahmedabad,  Plot/Land for Sale in Dholera Ahmedabad,₹11.4 Lac,N/A,N/A
Ahmedabad,"3 BHK Flat  for Sale in  PRL Colony, Thaltej, Ahmedabad","3 BHK Flat  for Sale in  PRL Colony, Thaltej, Ahmedabad",₹1.31 Cr,1250 sqft,Poss. by Dec '27
Ahmedabad,"Office Space for Sale in Shivalik High Street, Satellite Ahmedabad","  Office Space for Sale in Shivalik High Street, Satellite Ahmedabad",₹1.71 Cr,1044 sqft,Ready to Move
Ahmedabad,"3 BHK Flat  for Sale in  Serenity Satyam, Serenity Satyam, South Bopal, Bopal, Ahmedabad","3 BHK Flat  for Sale in  Serenity Satyam, Serenity Satyam, South Bopal, Bopal, Ahmedabad",₹75 Lac,847 sqft,N/A
Ahmedabad,"4 BHK Flat  for Sale in  Sheetal Westpark Residency, Sheetal Westpark Residency, IIM, Ahmedabad","4 BHK Flat  for Sale in  Sheetal Westpark Residency, Sheetal Westpark Residency, IIM, Ahmedabad",₹2.15 Cr,1650 sqft,Ready to Move
Ahmedabad,"3 BHK Flat  for Sale in  Rajshree Elanza, Rajshree Elanza, New Ranip, Ahmedabad","3 BHK Flat  for Sale in  Rajshree Elanza, Rajshree Elanza, New Ranip, Ahmedabad",₹76.6 Lac,926 sqft,N/A
Ahmedabad,"3 BHK Flat  for Sale in  Sahjanand Arjun Sky Life, Sahjanand Arjun Sky Life, Science City Road, Ahmedabad","3 BHK Flat  for Sale in  Sahjanand Arjun Sky Life, Sahjanand Arjun Sky Life, Science City Road, Ahmedabad",₹2.94 Cr,1827 sqft,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Dev Castle, Dev Castle, Maninagar, Ahmedabad","2 BHK Flat  for Sale in  Dev Castle, Dev Castle, Maninagar, Ahmedabad",₹42 Lac,113 sqyrd,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Shilp Ananta, Shilp Ananta, Shela, Ahmedabad","2 BHK Flat  for Sale in  Shilp Ananta, Shilp Ananta, Shela, Ahmedabad",₹54 Lac,N/A,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Maninagar, Ahmedabad","2 BHK Flat  for Sale in  Maninagar, Ahmedabad",₹45 Lac,900 sqft,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Bopal, Ahmedabad","2 BHK Flat  for Sale in  Bopal, Ahmedabad",₹60 Lac,535 sqft,Ready to Move
Ahmedabad,"3 BHK Flat  for Sale in  Vaishnodevi Circle, Ahmedabad","3 BHK Flat  for Sale in  Vaishnodevi Circle, Ahmedabad",₹1.05 Cr,1635 sqft,Ready to Move
Ahmedabad,"3 BHK Flat  for Sale in  Shela, Ahmedabad","3 BHK Flat  for Sale in  Shela, Ahmedabad",₹1.65 Cr,1428 sqft,Ready to Move
Ahmedabad,Office Space for Sale in Makarba Ahmedabad,  Office Space for Sale in Makarba Ahmedabad,₹66 Lac,900 sqft,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  New Maninagar, Ahmedabad","2 BHK Flat  for Sale in  New Maninagar, Ahmedabad",₹32 Lac,567 sqft,Ready to Move
Ahmedabad,"4 BHK Flat  for Sale in  Shilp Residency, Shilp Residency, Gota, Ahmedabad","4 BHK Flat  for Sale in  Shilp Residency, Shilp Residency, Gota, Ahmedabad",₹2.20 Cr,N/A,Poss. by Jun '26
Ahmedabad,"4 BHK Flat  for Sale in  Saga Enstin Evoq, Saga Enstin Evoq, Science City, Ahmedabad","4 BHK Flat  for Sale in  Saga Enstin Evoq, Saga Enstin Evoq, Science City, Ahmedabad",₹2.99 Cr,2395 sqft,Ready to Move
Ahmedabad,4 BHK Villa for Sale in Nikol Ahmedabad,4 BHK Villa for Sale in Nikol Ahmedabad,₹2.60 Cr,1134 sqft,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Naranpura, Ahmedabad","2 BHK Flat  for Sale in  Naranpura, Ahmedabad",₹70 Lac,630 sqft,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Paldi, Ahmedabad","2 BHK Flat  for Sale in  Paldi, Ahmedabad",₹55 Lac,661 sqft,Ready to Move
Ahmedabad,"1 BHK Flat  for Sale in  Keshav Apartment , Keshav Apartment, Chandkheda, Ahmedabad","1 BHK Flat  for Sale in  Keshav Apartment , Keshav Apartment, Chandkheda, Ahmedabad",₹32 Lac,45 sqm,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Ramol, Amraiwadi, Ahmedabad","2 BHK Flat  for Sale in  Ramol, Amraiwadi, Ahmedabad",₹28 Lac,611 sqft,Ready to Move
Ahmedabad,Office Space for Sale in Shivranjani Cross Road Ahmedabad,  Office Space for Sale in Shivranjani Cross Road Ahmedabad,₹1.50 Cr,2100 sqft,Ready to Move
Ahmedabad,"4 BHK Flat  for Sale in  BSA Paarijat At Shantigram, BSA Paarijat At Shantigram, Shantigram, Ahmedabad","4 BHK Flat  for Sale in  BSA Paarijat At Shantigram, BSA Paarijat At Shantigram, Shantigram, Ahmedabad",₹2.66 Cr,N/A,Ready to Move
Ahmedabad,"Warehouse/ Godown for Sale in Raipur, Khadia Ahmedabad"," Warehouse/ Godown for Sale in Raipur, Khadia Ahmedabad",₹35 Lac,N/A,Ready to Move
Ahmedabad,"3 BHK Flat  for Sale in  Motera, Ahmedabad","3 BHK Flat  for Sale in  Motera, Ahmedabad",₹95 Lac,1140 sqft,Ready to Move
Ahmedabad,Showroom for Sale in Satellite Ahmedabad,  Showroom for Sale in Satellite Ahmedabad,₹3 Cr,1190 sqft,Ready to Move
Ahmedabad,"2 BHK Flat  for Sale in  Shilp Saral, Shilp Saral, Bopal, Ahmedabad","2 BHK Flat  for Sale in  Shilp Saral, Shilp Saral, Bopal, Ahmedabad",₹59 Lac,N/A,Ready to Move
